Date,Time,Software/Module,User,Type_Log,Interface_Description,Data
2009-05-14,10:25:48,ifinfo,#,IFINFO_IFD_NAME,IFD,media
2009-05-14,10:25:48,ifinfo,#,IFINFO_IFD_NAME,IFD,|
2009-05-14,10:30:04,ifinfo,#,IFINFO_IFD_NAME,IFD,media
2009-05-14,10:30:04,ifinfo,#,IFINFO_IFD_NAME,IFD,|
2009-05-14,10:35:17,ifinfo,#,IFINFO_IFD_NAME,IFD,media
2009-05-14,10:35:17,ifinfo,#,IFINFO_IFD_NAME,IFD,|
2009-05-14,10:40:39,ifinfo,#,IFINFO_IFD_NAME,IFD,media
2009-05-14,10:40:40,ifinfo,#,IFINFO_IFD_NAME,IFD,|
2009-05-14,10:45:18,ifinfo,#,IFINFO_IFD_NAME,IFD,media
2009-05-14,10:45:19,ifinfo,#,IFINFO_IFD_NAME,IFD,|
2009-05-14,10:50:13,ifinfo,#,IFINFO_IFD_NAME,IFD,media
2009-05-14,10:50:13,ifinfo,#,IFINFO_IFD_NAME,IFD,|
2009-05-14,10:55:23,ifinfo,#,IFINFO_IFD_NAME,IFD,media
2009-05-14,10:55:24,ifinfo,#,IFINFO_IFD_NAME,IFD,|
2009-05-14,11:00:03,ifinfo,#,IFINFO_IFD_NAME,IFD,media
2009-05-14,11:00:03,ifinfo,#,IFINFO_IFD_NAME,IFD,|
2009-05-14,11:05:12,ifinfo,#,IFINFO_IFD_NAME,IFD,media
2009-05-14,11:05:12,ifinfo,#,IFINFO_IFD_NAME,IFD,|
2009-05-14,11:10:27,ifinfo,#,IFINFO_IFD_NAME,IFD,media
2009-05-14,11:10:27,ifinfo,#,IFINFO_IFD_NAME,IFD,|
2009-05-14,11:12:25,ifinfo,#,IFINFO_IFD_NAME,IFD,ge-##/#/#
2009-05-14,11:12:26,ifinfo,#,IFINFO_IFD_NAME,IFD,xe-#/#/#
2009-05-14,11:12:26,ifinfo,#,IFINFO_IFD_NAME,IFD,xe-#/#/#
2009-05-14,11:12:27,ifinfo,#,IFINFO_IFD_NAME,IFD,xe-#/#/#
2009-05-14,11:12:27,ifinfo,#,IFINFO_IFD_NAME,IFD,xe-##/#/#
2009-05-14,11:12:27,ifinfo,#,IFINFO_IFD_NAME,IFD,xe-##/#/#
2009-05-14,11:12:28,ifinfo,#,IFINFO_IFD_NAME,IFD,xe-##/#/#
2009-05-14,11:12:28,ifinfo,#,IFINFO_IFD_NAME,IFD,xe-##/#/#
2009-05-14,11:12:29,ifinfo,#,IFINFO_IFD_NAME,IFD,xe-#/#/#
2009-05-14,11:12:29,ifinfo,#,IFINFO_IFD_NAME,IFD,xe-#/#/#
